STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/21/17,4.03,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,59,",,W",42,",,W",,,13,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/22/17,11.41,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,50,",,W",24,",,W",,,23.9,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/23/17,4.92,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,42,",,W",23,",,W",,,13,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/24/17,6.26,",,W",,,0,"T,,W,2400",0,",,W,2400",0,",,W,2400",,,57,",,W",36,",,W",,,15,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/25/17,6.71,",,W",,,0.01,",,W,2400",0,",,W,2400",0,",,W,2400",,,62,",,W",42,",,W",,,16.1,",,W",1,",,W",,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/26/17,8.28,",,W",,,0.14,",,W,2400",0,",,W,2400",0,",,W,2400",,,42,",,W",37,",,W",,,18.1,",,W",1,",,W",,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/27/17,4.25,",,W",,,0.26,",,W,2400",0,",,W,2400",0,",,W,2400",,,53,",,W",37,",,W",,,12.1,",,W",1,",,W",,,,,,,,,1,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/28/17,5.82,",,W",,,0.72,",,W,2400",0,",,W,2400",0,",,W,2400",,,46,",,W",41,",,W",,,14.1,",,W",1,",,W",,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/29/17,7.83,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,60,",,W",42,",,W",,,18.1,",,W",1,",,W",,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/30/17,5.82,",,W",,,0.01,",,W,2400",0,",,W,2400",0,",,W,2400",,,52,",,W",38,",,W",,,15,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/31/17,10.29,",,W",,,1.51,",,W,2400",0,",,W,2400",0,",,W,2400",,,43,",,W",37,",,W",,,25.9,",,W",1,",,W",,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/1/17,7.61,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,48,",,W",37,",,W",,,25.9,",,W",1,",,W",,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/2/17,5.37,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,63,",,W",40,",,W",,,14.1,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/3/17,4.92,",,W",,,0.03,",,W,2400",0,",,W,2400",0,",,W,2400",,,63,",,W",48,",,W",,,18.1,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/4/17,6.93,",,W",,,1.18,",,W,2400",0,",,W,2400",0,",,W,2400",,,51,",,W",45,",,W",,,18.1,",,W",1,",,W",,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/5/17,3.36,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,65,",,W",45,",,W",,,14.1,",,W",1,",,W",,,,,,,,,1,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/6/17,9.17,",,W",,,0.73,",,W,2400",0,",,W,2400",0,",,W,2400",,,53,",,W",40,",,W",,,21.9,",,W",1,",,W",,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/7/17,10.51,",,W",,,0,"T,,W,2400",0,",,W,2400",0,",,W,2400",,,51,",,W",40,",,W",,,17,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/8/17,8.28,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,57,",,W",40,",,W",,,17,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/9/17,4.92,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,67,",,W",45,",,W",,,13,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/10/17,6.04,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,74,",,W",53,",,W",,,13,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/11/17,5.59,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,80,",,W",61,",,W",,,14.1,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/12/17,2.91,",,W",,,0.02,",,W,2400",0,",,W,2400",0,",,W,2400",,,76,",,W",58,",,W",,,10.1,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/13/17,5.14,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,65,",,W",48,",,W",,,14.1,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/14/17,3.8,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,66,",,W",48,",,W",,,10.1,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/15/17,5.59,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,65,",,W",51,",,W",,,12.1,",,W",,,,,,,,,,,,
